trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Introduction.started,Introduction.stopped,EndTaskKey.keys,EndTaskKey.rt,EndTaskKey.started,EndTaskKey.stopped,instructions.started,instructions.stopped,KyeNext.keys,KyeNext.rt,KyeNext.started,KyeNext.stopped,introduction2.started,introduction2.stopped,SpaceBar.keys,SpaceBar.rt,SpaceBar.started,SpaceBar.stopped,text_start.started,text_start.stopped,srart_key.keys,srart_key.rt,srart_key.started,srart_key.stopped,key_resp2.keys,key_resp2.rt,key_resp2.started,key_resp2.stopped,image.started,image.stopped,text_2.started,text_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,A.started,A.stopped,A.numClicks,A.timesOn,A.timesOff,B.started,B.stopped,B.numClicks,B.timesOn,B.timesOff,text_3.started,text_3.stopped,participant,session,use_eyetracking,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.19112087499525,None,space,0.9546707910049008,11.19112087499525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
,,,,,,,,,,,,,,12.180795041989768,None,space,0.27511491600307636,12.180795041989768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
,,,,,,,,,,,,,,,,,,,,12.480014791988651,None,space,0.22795399998722132,12.480014791988651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.730323874988244,None,space,0.34050424900487997,12.730323874988244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8519874159974279,13.182798458990874,None,13.182798458990874,None,13.182798458990874,None,,,,,,,,,,,,,,,,,,,,,,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8681122500129277,15.13672220899025,None,15.13672220899025,None,15.13672220899025,None,,,,,,,,,,,,,,,,,,,,,,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24952380952380954,0.08571428571428572,1,0,0,0.5804796250013169,A,0.011754021004890092,None,16.100560791994212,None,1,[0.579039416013984],[0.5790425410086755],16.100560791994212,None,0,,,16.100560791994212,None,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5699188739963574,16.71785474999342,None,16.71785474999342,None,16.71785474999342,None,,,,,,,,,,,,,,,,,,,,,,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8279112079908373,17.384864916995866,None,17.384864916995866,None,17.384864916995866,None,,,,,,,,,,,,,,,,,,,,,,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24952380952380954,0.08571428571428572,1,0,0,0.614981999999145,A,0.013901686994358897,None,19.294396041994332,None,2,"[0.579039416013984, 0.6138197499967646]","[0.5790425410086755, 0.6138223329908215]",19.294396041994332,None,0,,,19.294396041994332,None,vvx,001,False,2022_Apr_25_1302,EyeTrackingStudy,2021.2.3,60.16731036655912,
